BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PRC_FULL_PAYMENT,TENURE,cluster,CUST_ID,BALANCE,PAYMENTS,MINIMUM_PAYMENTS
0.909091,1225.96,1071.23,154.73,0.0,0.833333,0.666667,0.166667,0.0,0.0,13.0,1500.0,0.0,12.0,0,C16327,547.484638,400.154087,276.642257
1.0,1122.3,1122.3,0.0,1425.965785,0.416667,0.416667,0.0,0.416667,9.0,9.0,4000.0,0.0,12.0,1,C14255,1189.030969,3231.526204,318.563445
0.545455,0.0,0.0,0.0,6448.247202,0.0,0.0,0.0,0.333333,12.0,0.0,7000.0,0.0,12.0,1,C12928,2221.252825,397.799248,477.915036
1.0,1027.01,1002.8,24.21,314.032321,0.583333,0.25,0.25,0.083333,3.0,8.0,2200.0,0.0,12.0,1,C11840,1053.639683,1181.14154,225.348166
0.818182,0.0,0.0,0.0,102.275984,0.0,0.0,0.0,0.083333,1.0,0.0,7500.0,0.0,12.0,1,C10220,2458.376257,4543.63481,647.20869
1.0,564.0,564.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,6.0,4000.0,0.0,12.0,1,C16574,1155.509859,279.047416,295.461365
1.0,0.0,0.0,0.0,120.612912,0.0,0.0,0.0,0.083333,1.0,0.0,1200.0,0.0,12.0,1,C10100,1139.782882,151.823651,2906.110765
1.0,270.0,0.0,270.0,711.48812,0.833333,0.0,0.833333,0.25,3.0,10.0,1500.0,0.0,12.0,0,C18361,1411.096444,1279.52965,902.25194
1.0,95.67,95.67,0.0,272.559361,0.083333,0.083333,0.0,0.083333,1.0,1.0,5500.0,0.0,12.0,1,C13032,2848.735428,679.138272,892.599825
1.0,0.0,0.0,0.0,6036.492283,0.0,0.0,0.0,0.25,7.0,0.0,3000.0,0.181818,12.0,1,C15804,2584.317807,6024.595066,826.013735
1.0,2969.3,1238.55,1730.75,0.0,1.0,0.75,1.0,0.0,0.0,91.0,9500.0,0.0,12.0,0,C16255,2244.345037,713.218297,643.266736
0.454545,0.0,0.0,0.0,936.59473,0.0,0.0,0.0,0.083333,2.0,0.0,1000.0,0.0,12.0,1,C16639,276.93292,247.914645,152.028346
0.545455,100.12,0.0,100.12,0.0,0.75,0.0,0.666667,0.0,0.0,9.0,4000.0,0.3,12.0,1,C17942,4.326857,123.485948,61.021667
1.0,2469.28,905.98,1563.3,5839.680075,0.916667,0.583333,0.833333,0.666667,27.0,33.0,8000.0,0.0,12.0,0,C12359,5355.922523,1226.857482,2016.38299
1.0,4371.82,2765.16,1606.66,0.0,1.0,0.916667,1.0,0.0,0.0,97.0,20000.0,0.583333,12.0,0,C10760,492.916599,3603.230966,207.887409
1.0,0.0,0.0,0.0,3252.260115,0.0,0.0,0.0,0.083333,6.0,0.0,14000.0,0.0,12.0,1,C14370,12596.42194,3031.587665,2946.488163
1.0,111.8,111.8,0.0,912.814627,0.083333,0.083333,0.0,0.166667,3.0,1.0,1200.0,0.0,12.0,1,C16872,544.314078,135.415952,183.945301
1.0,27.22,27.22,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,500.0,0.0,12.0,1,C18440,435.518068,160.536841,220.943631
1.0,100.0,100.0,0.0,37.470292,0.083333,0.083333,0.0,0.166667,2.0,1.0,1000.0,0.0,12.0,1,C16826,972.958145,318.226488,577.927525
1.0,35.0,35.0,0.0,18.804195,0.083333,0.083333,0.0,0.083333,1.0,2.0,1200.0,0.0,12.0,1,C11358,1094.221693,348.094372,493.967774
1.0,4349.34,4349.34,0.0,0.0,0.916667,0.916667,0.0,0.0,0.0,14.0,5000.0,1.0,12.0,0,C11331,396.419487,4381.453625,163.370313
0.818182,445.46,0.0,445.46,0.0,1.0,0.0,1.0,0.0,0.0,13.0,2600.0,0.0,12.0,0,C11830,1269.019947,2875.999728,489.750966
1.0,2855.04,2488.95,366.09,0.0,0.75,0.25,0.583333,0.0,0.0,15.0,6000.0,0.375,12.0,1,C15999,338.310239,2801.205072,125.713305
1.0,157.67,0.0,157.67,214.94366,0.916667,0.0,0.916667,0.416667,6.0,11.0,1000.0,0.0,12.0,0,C18086,182.514528,138.547392,209.716038
1.0,0.0,0.0,0.0,648.548716,0.0,0.0,0.0,0.25,3.0,0.0,6500.0,0.0,12.0,1,C16931,947.223495,2415.827922,3933.230932
1.0,755.14,482.9,272.24,0.0,0.916667,0.75,0.75,0.0,0.0,29.0,6500.0,0.333333,12.0,0,C15003,661.940291,2284.482833,247.277952
1.0,439.91,0.0,439.91,0.0,1.0,0.0,1.0,0.0,0.0,25.0,6000.0,1.0,12.0,0,C16673,55.907108,449.043148,172.225824
1.0,2148.02,1634.44,513.58,385.68198,1.0,0.666667,0.583333,0.083333,1.0,32.0,3500.0,0.0,12.0,0,C16454,2848.442843,922.603695,764.90448
1.0,3394.94,1705.78,1689.16,0.0,1.0,0.833333,0.916667,0.0,0.0,59.0,12000.0,0.0,12.0,0,C15956,5938.788939,1367.537734,1374.956496
1.0,827.2,0.0,827.2,0.0,1.0,0.0,1.0,0.0,0.0,20.0,1000.0,0.666667,12.0,0,C16753,56.68168,798.681574,174.491545
1.0,2196.54,1037.8,1158.74,0.0,1.0,0.333333,1.0,0.0,0.0,44.0,1000.0,0.0,12.0,0,C11905,1276.941373,1410.009813,3446.470208
1.0,1142.12,0.0,1142.12,1113.924335,1.0,0.0,0.857143,0.285714,3.0,14.0,1000.0,0.0,7.0,0,C19124,931.907808,957.421268,1064.015704
1.0,0.0,0.0,0.0,2757.579869,0.0,0.0,0.0,0.5,6.0,0.0,4000.0,0.0,12.0,1,C16597,1959.35945,1542.366508,460.734661
1.0,8945.67,8945.67,0.0,0.0,0.916667,0.916667,0.0,0.0,0.0,23.0,5500.0,1.0,12.0,0,C16448,965.514081,7917.840874,261.663214
1.0,423.37,423.37,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,7000.0,0.083333,12.0,0,C15645,40.074484,430.466572,187.954393
0.909091,464.95,134.9,330.05,0.0,0.75,0.166667,0.416667,0.0,0.0,14.0,1000.0,0.454545,12.0,1,C17167,47.336863,424.138187,153.671805
0.857143,75.99,75.99,0.0,0.0,0.142857,0.142857,0.0,0.0,0.0,1.0,2700.0,0.0,7.0,1,C10231,41.642389,69.163384,99.401747
1.0,0.0,0.0,0.0,3550.209696,0.0,0.0,0.0,0.166667,3.0,0.0,5500.0,0.0,12.0,1,C10727,3063.017462,757.537513,891.059927
1.0,767.13,20.0,747.13,0.0,1.0,0.083333,1.0,0.0,0.0,70.0,3000.0,0.0,12.0,0,C16806,3345.311478,976.91687,26873.51595
1.0,3173.5,0.0,3173.5,651.192848,1.0,0.0,0.909091,0.090909,4.0,11.0,1000.0,0.0,11.0,0,C17221,1281.911087,2757.343301,4800.913225
1.0,837.48,0.0,837.48,0.0,1.0,0.0,1.0,0.0,0.0,12.0,3500.0,0.166667,12.0,0,C17588,23.587067,775.895535,3.300026
0.636364,0.0,0.0,0.0,1372.812459,0.0,0.0,0.0,0.083333,3.0,0.0,1500.0,0.0,12.0,1,C17257,780.382656,201.628458,429.816935
0.636364,100.0,0.0,100.0,6964.780053,0.333333,0.0,0.25,0.5,11.0,4.0,9000.0,0.0,12.0,1,C12922,2735.480264,1129.128267,1362.581887
1.0,1274.54,396.24,878.3,0.0,0.833333,0.833333,0.416667,0.0,0.0,21.0,4500.0,0.0,12.0,0,C11182,1180.758966,1351.787519,285.440312
1.0,0.0,0.0,0.0,1359.837109,0.0,0.0,0.0,0.916667,17.0,0.0,2500.0,0.0,12.0,1,C15896,1874.572121,329.797397,507.068261
0.857143,750.19,750.19,0.0,0.0,0.714286,0.714286,0.0,0.0,0.0,7.0,2500.0,0.0,7.0,0,C14734,108.766657,498.643829,95.901909
0.818182,0.0,0.0,0.0,1615.027379,0.0,0.0,0.0,0.25,4.0,0.0,1500.0,0.0,12.0,1,C17005,770.636646,809.365677,257.156519
0.090909,24.0,0.0,24.0,0.0,0.166667,0.0,0.166667,0.0,0.0,2.0,1500.0,0.0,12.0,1,C10763,0.25571,9.533313,8.8426
0.636364,322.77,0.0,322.77,0.0,0.583333,0.0,0.5,0.0,0.0,7.0,5300.0,0.857143,12.0,1,C13763,19.104261,409.550536,174.81905
1.0,9734.63,3756.01,5978.62,0.0,1.0,1.0,1.0,0.0,0.0,194.0,8500.0,0.083333,12.0,0,C10645,1088.031913,8571.945329,204.762568
0.818182,215.0,215.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1750.0,0.0,12.0,1,C13133,117.205812,86.403222,182.994424
1.0,1528.77,1528.77,0.0,0.0,0.416667,0.416667,0.0,0.0,0.0,9.0,9000.0,0.0,12.0,1,C16760,291.654079,930.081668,122.43225
1.0,0.0,0.0,0.0,1195.791823,0.0,0.0,0.0,0.166667,5.0,0.0,1200.0,0.0,12.0,1,C16082,1157.305572,328.141952,293.804549
1.0,0.0,0.0,0.0,456.396077,0.0,0.0,0.0,0.166667,2.0,0.0,1950.0,0.0,12.0,1,C12728,1517.559661,473.175712,381.272303
1.0,3637.75,3396.25,241.5,6419.421654,0.833333,0.583333,0.5,0.333333,8.0,26.0,7000.0,0.416667,12.0,0,C15164,1241.565972,8754.779769,407.886506
1.0,1059.82,899.82,160.0,2083.277724,0.666667,0.416667,0.25,0.5,11.0,10.0,3600.0,0.0,12.0,1,C18054,785.704401,2380.838508,242.76267
0.363636,2971.83,2971.83,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,21.0,6000.0,0.333333,12.0,1,C18117,257.564141,3946.991516,358.523649
1.0,378.35,0.0,378.35,801.879454,1.0,0.0,0.857143,0.428571,8.0,7.0,1000.0,0.0,7.0,0,C13862,716.970968,211.734375,317.6652
1.0,2197.28,2064.28,133.0,0.0,0.833333,0.75,0.333333,0.0,0.0,40.0,4200.0,0.0,12.0,0,C16226,2490.340771,775.676457,795.224277
1.0,691.66,691.66,0.0,992.321871,0.333333,0.333333,0.0,0.25,4.0,4.0,1500.0,0.0,12.0,1,C14278,809.572784,1395.925667,263.711559
1.0,421.04,341.0,80.04,0.0,0.333333,0.083333,0.333333,0.0,0.0,6.0,4000.0,0.0,12.0,1,C11950,365.005559,1386.413639,110.535797
0.5,20.9,20.9,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,1.0,500.0,0.0,6.0,1,C19184,5.871712,58.644883,43.473717
1.0,1120.29,965.09,155.2,0.0,0.666667,0.583333,0.583333,0.0,0.0,19.0,6000.0,0.0,12.0,0,C11342,5561.206188,2013.621078,2741.09648
1.0,6005.9,5838.38,167.52,567.971877,1.0,0.583333,0.916667,0.083333,1.0,61.0,10500.0,0.0,12.0,0,C18435,4436.557694,1650.425296,1067.515656
1.0,1678.69,1528.69,150.0,392.356874,0.5,0.166667,0.333333,0.083333,1.0,8.0,1800.0,0.083333,12.0,1,C13538,1413.006634,2308.456562,510.627017
0.363636,60.0,0.0,60.0,0.0,0.333333,0.0,0.25,0.0,0.0,4.0,2500.0,0.0,12.0,1,C17968,4.115287,109.888829,166.384674
0.909091,3721.39,3721.39,0.0,0.0,0.5,0.5,0.0,0.0,0.0,26.0,4000.0,0.714286,12.0,0,C12092,311.341555,4004.905569,156.580586
0.818182,0.0,0.0,0.0,1422.490362,0.0,0.0,0.0,0.083333,1.0,0.0,1800.0,0.0,12.0,1,C13025,1173.662921,238.582391,258.649795
1.0,603.46,328.68,274.78,0.0,0.583333,0.333333,0.416667,0.0,0.0,13.0,1200.0,0.0,12.0,0,C16372,502.236778,233.768374,353.463494
1.0,100.98,100.98,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,4.0,400.0,0.0,12.0,1,C15780,40.778677,227.659466,196.226103
0.833333,0.0,0.0,0.0,5724.953197,0.0,0.0,0.0,0.333333,4.0,0.0,8000.0,0.0,6.0,1,C18263,2731.663846,574.931823,541.703109
1.0,0.0,0.0,0.0,4524.312762,0.0,0.0,0.0,0.25,4.0,0.0,5000.0,0.0,12.0,1,C12421,4059.211725,3246.575307,866.693315
1.0,0.0,0.0,0.0,10519.48252,0.0,0.0,0.0,0.666667,15.0,0.0,9000.0,0.090909,12.0,1,C11614,3630.771485,5171.793236,929.686078
0.818182,4562.69,4562.69,0.0,0.0,0.25,0.25,0.0,0.0,0.0,5.0,9000.0,0.0,12.0,1,C18116,670.177406,5060.2174,165.965951
0.454545,143.0,143.0,0.0,1135.028534,0.083333,0.083333,0.0,0.25,4.0,2.0,5000.0,0.0,12.0,1,C11477,449.556041,4723.998143,351.230553
1.0,981.2,326.2,655.0,0.0,0.583333,0.166667,0.416667,0.0,0.0,12.0,1200.0,0.0,12.0,1,C14203,1155.692527,1279.911936,1176.743934
0.636364,1438.76,1060.66,378.1,0.0,0.583333,0.5,0.333333,0.0,0.0,24.0,3000.0,0.0,12.0,0,C13240,410.021801,424.595959,258.959313
1.0,322.29,0.0,322.29,0.0,0.916667,0.0,0.833333,0.0,0.0,13.0,1200.0,0.0,12.0,0,C11850,1194.651852,482.355548,946.189043
1.0,0.0,0.0,0.0,154.241717,0.0,0.0,0.0,0.083333,1.0,0.0,1500.0,0.0,12.0,1,C16485,1390.563775,506.958786,606.10374
1.0,2616.0,0.0,2616.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2000.0,0.083333,12.0,0,C18596,391.07025,2186.334191,224.709953
1.0,20.0,20.0,0.0,197.024597,0.083333,0.083333,0.0,0.333333,5.0,1.0,2000.0,0.0,12.0,1,C15199,871.499977,278.265172,277.580245
1.0,799.92,0.0,799.92,0.0,1.0,0.0,1.0,0.0,0.0,20.0,1000.0,0.0,12.0,0,C17913,1322.64748,469.485706,9299.951204
1.0,1975.4,1393.5,581.9,0.0,0.666667,0.416667,0.333333,0.0,0.0,17.0,4000.0,0.0,12.0,0,C10175,349.441102,1795.012223,167.219681
1.0,1461.15,1034.03,427.12,0.0,1.0,1.0,0.916667,0.0,0.0,33.0,7500.0,0.833333,12.0,0,C14756,107.600851,1334.893122,193.531249
1.0,0.0,0.0,0.0,4111.465632,0.0,0.0,0.0,0.166667,6.0,0.0,7000.0,0.0,12.0,1,C16134,6022.224462,4560.77572,42629.55117
0.727273,398.98,0.0,398.98,0.0,0.5,0.0,0.333333,0.0,0.0,6.0,2500.0,0.571429,12.0,1,C17175,51.65143,452.347581,264.697366
1.0,3500.03,1814.42,1685.61,0.0,1.0,0.666667,1.0,0.0,0.0,129.0,6000.0,0.0,12.0,0,C15313,2002.429291,1619.62737,537.587864
0.181818,0.0,0.0,0.0,907.958603,0.0,0.0,0.0,0.083333,2.0,0.0,1000.0,0.0,12.0,1,C17042,72.575706,2988.425347,42.653262
1.0,736.24,480.0,256.24,0.0,1.0,0.166667,0.916667,0.0,0.0,20.0,7000.0,0.083333,12.0,0,C14558,1654.369427,2267.012612,518.201767
1.0,3358.25,3358.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,127.0,4000.0,0.0,12.0,0,C17867,717.764625,2370.592652,202.790825
1.0,0.0,0.0,0.0,207.390596,0.0,0.0,0.0,0.166667,4.0,0.0,3000.0,0.25,12.0,1,C17300,54.567517,276.975673,161.150923
1.0,0.0,0.0,0.0,2374.346946,0.0,0.0,0.0,0.75,31.0,0.0,3500.0,0.0,12.0,1,C11360,3007.093879,878.602529,734.58611
0.875,0.0,0.0,0.0,970.37112,0.0,0.0,0.0,0.125,1.0,0.0,2500.0,0.0,8.0,1,C18408,772.647723,125.862157,209.002905
1.0,7311.99,7311.99,0.0,0.0,0.5,0.5,0.0,0.0,0.0,11.0,6700.0,0.0,12.0,1,C16465,4217.472407,2773.245445,1960.522407
1.0,983.77,603.77,380.0,0.0,0.666667,0.416667,0.25,0.0,0.0,15.0,2400.0,0.0,12.0,0,C10372,601.92037,389.411161,219.465695
1.0,1363.79,800.0,563.79,0.0,0.75,0.083333,0.666667,0.0,0.0,16.0,6000.0,0.0,12.0,0,C11553,632.679411,2432.980638,219.177144
0.454545,734.11,734.11,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,6.0,5000.0,0.5,12.0,1,C10562,68.039722,1537.307484,102.554198
0.272727,76.0,76.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,4000.0,0.0,12.0,1,C17779,11.673388,447.312571,84.678373
0.818182,254.0,84.0,170.0,0.0,0.666667,0.166667,0.5,0.0,0.0,12.0,3000.0,0.5,12.0,1,C14896,37.911473,248.076679,185.502626
1.0,783.24,0.0,783.24,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2700.0,0.666667,12.0,0,C18482,104.693836,734.364933,201.315774
0.272727,343.82,0.0,343.82,169.355104,0.833333,0.0,0.833333,0.083333,1.0,10.0,4000.0,0.0,12.0,0,C17733,1.097736,169.895641,9.801394
0.363636,492.0,0.0,492.0,0.0,1.0,0.0,1.0,0.0,0.0,24.0,7500.0,0.0,12.0,0,C15907,0.892901,450.655804,19.582178
0.272727,0.0,0.0,0.0,329.93065,0.0,0.0,0.0,0.083333,1.0,0.0,500.0,1.0,12.0,1,C18991,0.979061,1316.748413,1.721007
1.0,3986.24,833.24,3153.0,0.0,1.0,0.166667,1.0,0.0,0.0,22.0,1500.0,0.666667,12.0,0,C18534,420.348086,3100.021072,202.854078
0.727273,413.31,133.31,280.0,0.0,0.583333,0.083333,0.416667,0.0,0.0,8.0,6000.0,0.625,12.0,1,C15150,41.049799,475.939508,106.476161
1.0,15.92,15.92,0.0,2183.782456,0.083333,0.083333,0.0,0.333333,9.0,1.0,5500.0,0.0,12.0,1,C15879,3881.679582,1032.183632,1129.747227
1.0,1178.12,901.5,276.62,0.0,1.0,0.25,1.0,0.0,0.0,28.0,6000.0,0.0,12.0,0,C13086,233.376877,1098.390459,177.323148
1.0,0.0,0.0,0.0,152.483846,0.0,0.0,0.0,0.083333,1.0,0.0,6000.0,0.0,12.0,1,C11474,112.973151,552.938783,207.920808
1.0,1506.92,813.02,693.9,0.0,1.0,1.0,0.583333,0.0,0.0,33.0,2500.0,0.0,12.0,0,C15037,322.411152,1567.278435,167.076537
1.0,2599.2,1212.28,1386.92,0.0,0.916667,0.333333,0.916667,0.0,0.0,19.0,3000.0,0.0,12.0,0,C16616,846.091011,1900.699307,195.516066
1.0,1497.82,690.57,807.25,0.0,1.0,0.333333,0.833333,0.0,0.0,31.0,3500.0,0.090909,12.0,0,C10859,227.781773,342.79543,183.964777
0.333333,0.0,0.0,0.0,265.334594,0.0,0.0,0.0,0.111111,1.0,0.0,1200.0,0.0,9.0,1,C14453,3.005343,1233.178997,1.334075
1.0,37.62,0.0,37.62,0.0,0.25,0.0,0.25,0.0,0.0,3.0,1500.0,0.083333,12.0,1,C16407,637.379659,1691.81869,4887.636705
0.090909,0.0,0.0,0.0,1209.369868,0.0,0.0,0.0,0.083333,1.0,0.0,11000.0,0.0,12.0,1,C13091,27.585915,14176.74867,46.573054
1.0,0.0,0.0,0.0,93.690441,0.0,0.0,0.0,0.333333,4.0,0.0,1800.0,0.0,12.0,1,C11697,1647.932117,390.2023,717.310059
1.0,1044.2,835.96,208.24,0.0,1.0,0.7,0.7,0.0,0.0,26.0,6000.0,0.0,10.0,0,C17505,2130.050015,597.906134,422.543556
0.181818,69.57,69.57,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,2.0,4000.0,0.0,12.0,1,C11784,5.270593,411.825987,83.449559
0.272727,1861.74,1861.74,0.0,0.0,0.25,0.25,0.0,0.0,0.0,31.0,3000.0,0.0,12.0,1,C17012,251.273637,195.73661,273.119363
0.909091,0.0,0.0,0.0,2464.684708,0.0,0.0,0.0,0.333333,5.0,0.0,3000.0,0.0,12.0,1,C17622,1441.993476,3206.577257,481.175275
0.818182,1305.72,0.0,1305.72,0.0,0.75,0.0,0.666667,0.0,0.0,9.0,1700.0,0.2,12.0,0,C16431,95.517105,1127.40911,77.116725
0.818182,182.1,33.6,148.5,113.918826,0.25,0.083333,0.083333,0.083333,1.0,4.0,6000.0,0.2,12.0,1,C14923,17.141376,255.074373,93.628909
1.0,1543.83,1406.33,137.5,899.326582,1.0,1.0,0.25,0.083333,2.0,32.0,7000.0,0.0,12.0,0,C16809,1670.918981,757.409319,370.39189
1.0,3497.99,626.85,2871.14,0.0,1.0,0.416667,1.0,0.0,0.0,130.0,3000.0,0.166667,12.0,0,C16938,462.918623,3581.048471,174.461435
0.909091,1428.89,1428.89,0.0,0.0,0.181818,0.181818,0.0,0.0,0.0,11.0,2500.0,0.0,11.0,1,C15610,810.089776,1576.842421,395.761881
0.909091,1141.21,110.0,1031.21,1812.095991,0.833333,0.083333,0.75,0.333333,5.0,36.0,3000.0,0.111111,12.0,0,C18643,1029.713408,420.99268,443.644764
1.0,3165.54,1591.65,1573.89,0.0,1.0,0.583333,1.0,0.0,0.0,151.0,6000.0,0.0,12.0,0,C18060,2030.838228,1872.134044,438.77119
1.0,555.0,0.0,555.0,0.0,0.666667,0.0,0.583333,0.0,0.0,12.0,3000.0,0.0,12.0,0,C10999,2872.838687,1397.027257,1680.543762
1.0,0.0,0.0,0.0,2009.582123,0.0,0.0,0.0,0.666667,6.0,0.0,2000.0,0.0,9.0,1,C18523,1973.025342,325.367575,476.302544
1.0,1313.26,0.0,1313.26,0.0,1.0,0.0,1.0,0.0,0.0,28.0,11500.0,0.0,12.0,0,C12232,1467.162166,1129.248446,429.760387
0.454545,316.3,316.3,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,2.0,2500.0,0.1,12.0,1,C18206,27.254213,312.771691,57.214333
0.272727,566.43,463.8,102.63,0.0,0.166667,0.166667,0.083333,0.0,0.0,3.0,9000.0,0.0,12.0,1,C10974,95.645669,73.895095,199.884984
1.0,2093.55,1727.08,366.47,0.0,1.0,0.916667,0.333333,0.0,0.0,35.0,4000.0,0.083333,12.0,0,C13557,1199.490675,2833.409817,344.952165
1.0,0.0,0.0,0.0,713.245337,0.0,0.0,0.0,0.166667,9.0,0.0,3500.0,0.0,12.0,1,C13295,1838.159648,2958.852784,835.751337
1.0,0.0,0.0,0.0,1817.167913,0.0,0.0,0.0,0.333333,6.0,0.0,2000.0,0.0,12.0,1,C13436,1176.753991,768.296414,318.681676
1.0,107.33,107.33,0.0,3404.231913,0.083333,0.083333,0.0,0.333333,7.0,1.0,8500.0,0.0,12.0,1,C13243,7776.4369,1891.304756,1829.724497
1.0,1063.69,0.0,1063.69,0.0,1.0,0.0,1.0,0.0,0.0,29.0,7000.0,0.454545,12.0,0,C12558,102.751154,1928.089519,164.687639
1.0,0.0,0.0,0.0,99.965503,0.0,0.0,0.0,0.083333,1.0,0.0,8000.0,0.0,12.0,1,C11439,2837.112414,660.781751,803.189729
1.0,693.43,62.0,631.43,0.0,1.0,0.083333,0.916667,0.0,0.0,15.0,8500.0,1.0,12.0,0,C13474,62.986919,593.0196,152.069656
1.0,861.79,181.81,679.98,457.699229,0.333333,0.166667,0.166667,0.083333,1.0,7.0,6000.0,0.083333,12.0,1,C10745,2386.932058,6532.686986,634.388953
1.0,1910.51,0.0,1910.51,0.0,1.0,0.0,1.0,0.0,0.0,65.0,3000.0,0.0,12.0,0,C15415,3267.962664,2553.372888,3339.39289
1.0,2948.1,2706.59,241.51,0.0,0.916667,0.916667,0.5,0.0,0.0,22.0,4000.0,0.333333,12.0,0,C13096,411.894578,2520.35969,185.983855
1.0,0.0,0.0,0.0,254.011804,0.0,0.0,0.0,0.166667,4.0,0.0,1800.0,0.0,12.0,1,C17587,1669.488962,571.589438,494.062935
1.0,100.0,0.0,100.0,0.0,0.166667,0.0,0.166667,0.0,0.0,2.0,7000.0,0.0,12.0,1,C16000,1541.047251,325.179537,329.548006
1.0,20.9,20.9,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1500.0,0.0,12.0,1,C12721,1327.653853,287.690115,483.2481
1.0,1211.42,0.0,1211.42,0.0,1.0,0.0,1.0,0.0,0.0,42.0,4000.0,0.333333,12.0,0,C13955,1129.284728,3390.831252,341.402204
0.454545,0.0,0.0,0.0,1118.361104,0.0,0.0,0.0,0.083333,2.0,0.0,3000.0,0.083333,12.0,1,C15412,291.598301,1174.005094,85.227184
0.727273,430.43,0.0,430.43,0.0,0.5,0.0,0.416667,0.0,0.0,10.0,2500.0,0.083333,12.0,1,C16909,82.902896,315.075002,87.824996
1.0,0.0,0.0,0.0,5439.467563,0.0,0.0,0.0,0.583333,40.0,0.0,8000.0,0.0,12.0,1,C10112,4986.400804,1241.538024,1439.230899
